"pitch_type","pitch_id","game_date","start_speed","x0","z0","player_name","batter","pitcher","events","description","spin_dir","spin_rate","break_angle","break_length","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","px","pz","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs","tfs_zulu","catcher","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","hit_speed","hit_angle","effective_speed","release_spin_rate","release_extension","game_pk"
"FF",14,"2017-04-13","89.93     ","2.64864384795279","5.62297484868821","Madison Bumgarner","571448","518516","Walk","Foul","154.416   ","2473.276  ","-31.6     ","3.7       ","14","Nolan Arenado walks.   DJ LeMahieu to 2nd.  ","R ","R","L","SF ","COL","S",0,0,0,0,2017,"5.608527580831176     ","11.713549371890377  ","0.989798884519417","2.34816111900747","null","null",518934,1,1,"top","0.0000","0.0000","021748","2017-04-14T02:17:48Z","543148","490319","170414_021758","-6.13","-130.425696597848   ","-6.05","9.60","28.98","-12.12","3.47","1.59","null","null","null","89.64","2270","6.42",490232
"FF",15,"2017-04-13","92.46     ","2.47657616723997","5.65926433476207","Madison Bumgarner","571448","518516","Walk","Ball","143.057   ","2453.821  ","-37.1     ","4.1       ","11","Nolan Arenado walks.   DJ LeMahieu to 2nd.  ","R ","R","L","SF ","COL","B",0,0,0,1,2017,"7.532488885134348     ","10.016434231405896  ","-0.904005500695258","3.80175935306106","null","null",518934,1,1,"top","0.0000","0.0000","021811","2017-04-14T02:18:11Z","543148","490319","170414_021816","-11.50","-133.916273260745   ","-2.23","13.61","30.21","-14.07","3.47","1.59","null","null","null","92.55","2275","6.69",490232
"FF",16,"2017-04-13","90.74     ","2.79717512361075","5.46312639995038","Madison Bumgarner","571448","518516","Walk","Ball","151.986   ","2658.577  ","-39.5     ","3.7       ","14","Nolan Arenado walks.   DJ LeMahieu to 2nd.  ","R ","R","L","SF ","COL","B",0,0,1,1,2017,"6.456318245159377     ","12.134636186149319  ","1.66631311250461","1.73931706551597","null","null",518934,1,1,"top","0.0000","0.0000","021832","2017-04-14T02:18:32Z","543148","490319","170414_021837","-5.12","-131.636612579712   ","-7.59","11.33","27.90","-10.88","3.47","1.59","null","null","null","90.58","2173","6.35",490232
"SL",17,"2017-04-13","86.62     ","2.5552190961025","5.53683207905381","Madison Bumgarner","571448","518516","Walk","Swinging Strike","178.053   ","1569.989  ","3.6       ","5.0       ","13","Nolan Arenado walks.   DJ LeMahieu to 2nd.  ","R ","R","L","SF ","COL","S",0,0,2,1,2017,"0.2876370336922488    ","8.453697412580675   ","-1.24155406631403","1.61655798713749","null","null",518934,1,1,"top","0.0000","0.0000","021852","2017-04-14T02:18:52Z","543148","490319","170414_021858","-9.53","-125.523344744772   ","-6.00","0.46","23.85","-18.60","3.47","1.59","null","null","null","86.25","2235","6.14",490232
"CU",18,"2017-04-13","79.79     ","2.4994766921678","5.51427932173449","Madison Bumgarner","571448","518516","Walk","Ball In Dirt","322.545   ","778.675   ","8.0       ","11.4      ","13","Nolan Arenado walks.   DJ LeMahieu to 2nd.  ","R ","R","L","SF ","COL","B",0,0,2,2,2017,"-2.795502275372724    ","3.6488558163534845  ","-2.07018292270486","1.00500838217019","null","null",518934,1,1,"top","0.0000","0.0000","021921","2017-04-14T02:19:21Z","543148","490319","170414_021926","-9.59","-115.611568050798   ","-2.15","-3.77","22.08","-37.10","3.47","1.59","null","null","null","78.62","2513","5.76",490232
"FF",19,"2017-04-13","91.35     ","2.63072781737248","5.82277367223198","Madison Bumgarner","571448","518516","Walk","Ball","157.393   ","2271.164  ","-25.5     ","3.3       ","12","Nolan Arenado walks.   DJ LeMahieu to 2nd.  ","R ","R","L","SF ","COL","B",0,0,3,2,2017,"4.539030789954408     ","10.899840239765028  ","0.137934618666434","5.35338250751139","null","null",518934,1,1,"top","0.0000","0.0000","021950","2017-04-14T02:19:50Z","543148","490319","170414_021955","-8.02","-132.485294231464   ","1.28","7.97","31.39","-13.03","3.47","1.59","null","null","null","91.54","2144","6.83",490232
"FF",24,"2017-04-13","92.03     ","2.25640765467802","5.65274936135248","Madison Bumgarner","471865","518516","Strikeout","Ball","149.481   ","2378.227  ","-31.4     ","3.7       ","11","Carlos Gonzalez strikes out swinging.  ","R ","L","L","SF ","COL","B",0,0,0,0,2017,"6.192573849944509     ","10.504440776599356  ","-1.43419957194841","3.77979417135055","null",518934,571448,1,1,"top","0.0000","0.0000","022031","2017-04-14T02:20:31Z","543148","490319","170414_022036","-11.81","-133.285079258402   ","-2.38","11.10","29.70","-13.35","3.41","1.57","null","null","null","92.23","2237","6.75",490232
"FF",25,"2017-04-13","91.60     ","2.71882574186996","5.70512856189843","Madison Bumgarner","471865","518516","Strikeout","Swinging Strike","145.725   ","2749.674  ","-45.2     ","3.9       ","12","Carlos Gonzalez strikes out swinging.  ","R ","L","L","SF ","COL","S",0,0,1,0,2017,"7.968456064491804     ","11.691775527106309  ","0.363499937053344","3.58402894545356","null",518934,571448,1,1,"top","0.0000","0.0000","022051","2017-04-14T02:20:51Z","543148","490319","170414_022056","-8.87","-132.856311343976   ","-3.38","14.18","29.60","-11.37","3.41","1.57","null","null","null","91.91","2138","6.74",490232
"FF",26,"2017-04-13","92.36     ","2.47865730203402","5.70335116129254","Madison Bumgarner","471865","518516","Strikeout","Foul Tip","152.933   ","2641.619  ","-39.3     ","3.3       ","12","Carlos Gonzalez strikes out swinging.  ","R ","L","L","SF ","COL","S",0,0,1,1,2017,"6.133399675127892     ","12.001954347736321  ","0.132503008791665","3.50002977145798","null",518934,571448,1,1,"top","0.0000","0.0000","022112","2017-04-14T02:21:12Z","543148","490319","170414_022118","-8.30","-133.979009095956   ","-3.84","11.10","30.09","-10.45","3.41","1.57","null","null","null","92.67","2161","6.73",490232
"FF",30,"2017-04-13","92.28     ","2.53735993828765","5.71569587279739","Madison Bumgarner","471865","518516","Strikeout","Foul","144.156   ","2721.469  ","-45.1     ","4.0       ","12","Carlos Gonzalez strikes out swinging.  ","R ","L","L","SF ","COL","S",0,0,1,2,2017,"8.16514979621118      ","11.302644076934268  ","0.208415641015161","3.56578887791124",518934,"null",571448,1,1,"top","0.0000","0.0000","022209","2017-04-14T02:22:09Z","543148","490319","170414_022214","-8.92","-133.797651615205   ","-3.42","14.70","30.76","-11.83","3.41","1.57","null","null","null","92.06","2230","6.50",490232
"CU",31,"2017-04-13","78.93     ","2.56814918046067","5.64678943541601","Madison Bumgarner","471865","518516","Strikeout","Swinging Strike","285.653   ","720.763   ","11.3      ","10.6      ","13","Carlos Gonzalez strikes out swinging.  ","R ","L","L","SF ","COL","S",0,0,1,2,2017,"-4.129142280197364    ","1.1569173000339132  ","-1.74619350275802","1.29342875982347",518934,"null",571448,1,1,"top","0.0000","0.0000","022238","2017-04-14T02:22:38Z","543148","490319","170414_022243","-8.54","-114.519239724239   ","-2.38","-5.48","21.33","-33.71","3.41","1.57","null","null","null","78.51","2597","6.17",490232
